pick up|поднять / заехать за|nhặt lên / đón
look on|наблюдать|đứng nhìn
look round|осмотреться|nhìn quanh
lose out|проиграть|thua thiệt
make for|направиться к|lao tới
make off|сбежать|chuồn đi
make over|переделать|làm lại
mark down|уценить|hạ giá
measure up|соответствовать|đạt yêu cầu
meet up|встретиться|gặp nhau
mess up|испортить|làm hỏng
miss out|упустить|bỏ lỡ
mix in|вмешать|trộn vào
move on|двигаться дальше|tiếp tục tiến
name after|назвать в честь|đặt tên theo
narrow down|сузить|thu hẹp
nod off|задремать|gật gù
note down|записать|ghi chú
open up|открыться|mở ra
opt for|выбрать|chọn
own up to|признаться в|thú nhận
pack up|собрать вещи|thu dọn
pass by|пройти мимо|đi ngang
pass for|сойти за|được coi là
pass over|пропустить|bỏ qua
pay in|внести деньги|nộp tiền
pay out|выплатить|chi trả
phase out|постепенно убрать|loại bỏ dần
pick at|ковырять|nhặt nhạnh
piece together|собрать по кускам|ghép lại
pile up|накопиться|chất đống
pin down|прижать к стене|bắt phải nói rõ
play down|преуменьшать|nói giảm
play up|барахлить|trục trặc
plug in|включить в розетку|cắm điện
point to|указывать на|chỉ vào
polish off|быстро доесть|ăn sạch
pop in|заскочить|ghé nhanh
pour out|излить|trút ra
press on|продолжать упорно|kiên trì
pull down|снести|phá đổ
pull off|справиться|xoay xở được
pull through|выжить|qua khỏi
pull up|остановиться|dừng lại
push ahead|продвигаться|tiến lên
push for|добиваться|thúc đẩy
put across|донести|trình bày
put aside|отложить|để sang một bên
put back|поставить на место|đặt lại
put in|вложить|bỏ vào
put off until|отложить до|hoãn đến
put on weight|набрать вес|tăng cân
put out a fire|потушить пожар|dập lửa
put up|разместить / повесить|cho ở / treo lên
queue up|встать в очередь|xếp hàng
reach out|протянуть руку|vươn ra
read out|зачитать|đọc to
read up on|изучить|tìm hiểu kỹ
rely on|полагаться|dựa vào
remind of|напоминать о|nhắc đến
result in|привести к|dẫn tới
ring back|перезвонить|gọi lại
ring up|позвонить|gọi điện
rip off|ободрать|chặt chém
roll out|развернуть|triển khai
rub out|стереть|tẩy đi
rule off|отчеркнуть|kẻ ngang
run across|случайно наткнуться|tình cờ thấy
run away with|сбежать с|bỏ trốn với
run through|пробежать / репетировать|chạy qua / duyệt
save up|накопить|để dành
scare off|отпугнуть|dọa chạy
scrape through|еле сдать|vừa đủ đậu
screw up|провалить|làm hỏng
see about|заняться|lo liệu
see to|позаботиться|lo cho
sell out|распродать|bán hết
send back|отправить назад|gửi trả
send for|послать за|gọi đến
set about|приняться|bắt đầu
set back|задержать|làm chậm
set down|записать / посадить|ghi / đặt xuống
set in|установиться|bắt đầu
set to|энергично взяться|bắt tay làm
settle for|довольствоваться|chấp nhận
settle in|обжиться|ổn định chỗ ở
shake off|стряхнуть|rũ bỏ
shoot up|взлететь|tăng vọt
shop around|прицениться|so giá
shout out|крикнуть|hét lên
show around|показать место|dẫn đi xem
shrug off|отмахнуться|phủi tay
shut down|закрыть / выключить|đóng cửa / tắt máy
shut out|не впустить|không cho vào
sign in|расписаться при входе|ký vào
sign out|расписаться при выходе|ký ra
single out|выделить|chọn riêng
sink in|дойти до сознания|thấm
sit around|сидеть без дела|ngồi không
sit out|пересидеть|ngồi ngoài
sleep in|поспать подольше|ngủ nướng
slip up|оплошать|sơ suất
smash up|разбить|đập nát
snap up|расхватать|mua ngay
sort through|перебрать|lục soát
speak out|высказаться|lên tiếng
speed up|ускориться|tăng tốc
spell out|разъяснить|nói rõ
spin out|растянуть|kéo dài
splash out|разориться на|tiêu xài mạnh
split off|отколоться|tách ra
spread out|распространиться|lan ra
spring up|возникнуть|mọc lên
squash in|втиснуться|nhét vào
stack up|складываться|xếp chồng
stamp out|искоренить|dẹp bỏ
stand by|поддерживать / быть наготове|ủng hộ / sẵn sàng
stand down|уйти в отставку|từ chức
stand in for|заменять|thay thế
start off|начать|bắt đầu
start out|начинать путь|khởi đầu
stay in|остаться дома|ở nhà
stay on|остаться|ở lại
stay out|не возвращаться домой|ở ngoài
step down|уйти с поста|từ chức
step in|вмешаться|can thiệp
step up|усилить|tăng cường
stick out|торчать|thò ra
stick up for|заступиться|bảo vệ
stir up|взбудоражить|khuấy động
stop by|зайти|ghé qua
stop off|остановиться по пути|dừng chân
stop over|сделать остановку|quá cảnh
store up|накопить|tích trữ
strike out|вычеркнуть|gạch đi
sum up|подвести итог|tóm tắt
switch over|переключиться|chuyển sang
take away|забрать / на вынос|mang đi
take in a show|сходить на зрелище|đi xem
take off clothes|снять одежду|cởi quần áo
take on staff|нанять персонал|tuyển người
take out|вынуть / пригласить|lấy ra / mời đi
take to|пристраститься|thích nghi
take up space|занимать место|chiếm chỗ
talk back|дерзить|cãi lại
talk into|уговорить|thuyết phục
talk out of|отговорить|can ngăn
tear down|снести|phá dỡ
tear up|разорвать|xé nát
tell apart|различить|phân biệt
tell on|донести|mách
test out|испытать|thử nghiệm
think ahead|думать наперёд|nghĩ trước
think back|вспомнить|nhớ lại
think up|придумать|nghĩ ra
throw off|сбить с толку|làm rối
throw together|наскоро собрать|dựng vội
tick off|отчитать / отметить|mắng / đánh dấu
tide over|перебиться|qua cơn
tie up|связать|trói lại
tip off|предупредить|mách trước
tone down|смягчить|giảm nhẹ
touch down|приземлиться|hạ cánh
touch on|затронуть|đề cập
track down|разыскать|lần ra
trade in|сдать в зачёт|đổi cũ lấy mới
try out|испробовать|thử
tuck in|заправиться едой|ăn ngon lành
turn away|отвернуть / отказать|quay đi / từ chối
turn in|лечь спать / сдать|đi ngủ / nộp
turn over|перевернуть|lật lại
turn to|обратиться к|quay sang
turn up the volume|сделать громче|tăng âm lượng
type in|ввести|nhập vào
use up all|израсходовать всё|dùng hết sạch
wait on|обслуживать|phục vụ
wait up|не ложиться ждать|thức đợi
wake up to|осознать|nhận ra
walk away|уйти|bỏ đi
walk off|уйти прочь|bỏ đi
warm up|размяться|khởi động
wash up|помыть посуду|rửa bát
watch out for|остерегаться|đề phòng
wave off|отмахнуться|xua đi
wear away|стереться|mòn dần
weed out|отсеять|loại bỏ
weigh up|взвесить|cân nhắc
while away|скоротать|giết thời gian
win back|вернуть себе|giành lại
win over|перетянуть на свою сторону|thuyết phục được
wipe off|стереть|lau đi
work off|отработать|làm để trả
work out a plan|составить план|lập kế hoạch
write off|списать|xóa sổ
write up|описать подробно|viết báo cáo
yearn for|тосковать по|khao khát
zero in on|сосредоточиться|tập trung vào
zoom in|приблизить|phóng to
zone out|отключиться|mơ màng
add up to|составлять в сумме|cộng thành
back down|отступить|nhượng bộ
bargain for|ожидать|tính đến
bear out|подтверждать|xác nhận
beat down|сбивать цену|mặc cả
beat up|избить|đánh đập
blot out|заслонить|che khuất
blow over|улечься|qua đi
board up|заколотить|đóng ván
boil over|убежать (о жидкости)|sôi trào
bottle up|затаить|kìm nén
branch off|ответвиться|rẽ nhánh
break out of|вырваться|vượt thoát
breeze through|легко пройти|làm dễ dàng
brick up|заложить кирпичом|xây bịt
bring down|свергнуть|lật đổ
bring in|принести доход|mang lại
bring out|выпустить / подчеркнуть|ra mắt / làm nổi
brush off|отмахнуться|phủi bỏ
brush up|освежить знания|ôn lại
buckle down|засесть за работу|lao vào làm
bump into|столкнуться|đụng phải
bundle up|тепло одеться|mặc ấm
burn up|сгореть|cháy hết
butt in|влезть в разговор|xen vào
call out|выкрикнуть|gọi to
call round|зайти|ghé thăm
carry away|увлечь|cuốn đi
carry forward|перенести|chuyển tiếp
cash out|обналичить|rút tiền
cast off|отбросить|vứt bỏ
catch up on|наверстать|bù lại
cave in|обрушиться / уступить|sập / nhượng bộ
chase up|напомнить|nhắc lại
cheat on|изменить|phản bội
check off|отметить галочкой|đánh dấu
chicken out|струсить|chùn bước
chime in|вставить слово|nhập hội
clamp down|ужесточить|siết chặt
clear out|очистить|dọn sạch
climb down|пойти на попятную|xuống nước
clock in|отметиться на работе|chấm công vào
clock out|закончить смену|chấm công ra
close off|перекрыть|chặn lại
cloud over|затянуться тучами|u ám
clue in|ввести в курс|cho biết
clutter up|захламить|bừa bộn
coil up|свернуться|cuộn lại
come apart|развалиться|rã ra
come between|встать между|xen vào giữa
come down with|заболеть|mắc bệnh
come from|происходить из|đến từ
come into|унаследовать|thừa kế
come over|зайти в гости|ghé qua
come up against|столкнуться с|đụng phải
cool down|остыть|nguội đi
cool off|остыть|hạ nhiệt
copy down|переписать|chép lại
cough up|выложить деньги|móc tiền
count out|исключить|loại ra
cover for|прикрыть|che chở
crack down|расправиться|trấn áp
creep in|вкрасться|len vào
crop up|всплыть|nảy ra
cross off|вычеркнуть|gạch tên
crowd out|вытеснить|lấn át
cry off|отказаться|từ chối
curl up|свернуться|cuộn mình
cut across|срезать путь|đi tắt
dash off|набросать наспех|viết vội
date back|восходить к|có từ
dawn upon|осенить|chợt nhận ra
deal in|торговать|buôn bán
decide on|решиться на|quyết định
die away|затихнуть|tan dần
dig into|углубиться|đào sâu
dine out|ужинать вне дома|ăn tối ngoài
dip into|заглянуть / залезть в|xem qua / rút tiền
disagree with|не соглашаться|không đồng ý
divide up|разделить|chia nhau
do away with|покончить с|bãi bỏ
do over|переделать|làm lại
do up the house|отремонтировать дом|sửa nhà
double up|согнуться|gập người
drag on|тянуться|kéo dài
drag out|вытянуть|kéo ra
draw back|отступить|rút lại
draw on|черпать|dựa vào
draw out|растянуть|kéo dài
dream of|мечтать о|mơ về
drift off|задремать|thiếp đi
drink to|выпить за|nâng ly
drive away|прогнать|đuổi đi
drop off to sleep|заснуть|thiếp đi
drop out of|бросить|bỏ
drown out|заглушить|át đi
dry out|высохнуть|khô đi
dry up|иссякнуть|cạn
duck out|увильнуть|trốn
dwell on|зациклиться|dằn vặt
ease up|ослабить|nới lỏng
eat away|разъедать|ăn mòn
edge out|вытеснить|loại dần
embark upon|пуститься в|bắt đầu
empty out|опустошить|đổ hết
end in|закончиться|kết thúc bằng
engage in|заниматься|tham gia
enter for|записаться на|đăng ký thi
even up|сравнять|làm đều
explain away|отговориться|thanh minh
face up|смотреть в лицо|đối mặt
fade away|угаснуть|phai nhạt
fall back|отступить|rút lui
fall back on|прибегнуть к|dựa vào
fall in|провалиться / построиться|sụp / xếp hàng
fall in with|согласиться с|đồng ý với
fall off|снизиться|giảm
fall on|напасть|đổ lên
fall out with|поссориться с|cãi nhau với
farm out|отдать на сторону|khoán ngoài
fasten up|застегнуть|cài lại
fathom out|постичь|hiểu ra
feed on|питаться|ăn bằng
feel for|сочувствовать|thương cảm
fend for|заботиться о себе|tự lo
fend off|отразить|chống đỡ
ferret out|выведать|moi ra
fetch up|оказаться|cuối cùng ở
fiddle with|вертеть|mân mê
fight off|отбить|chống lại
figure on|рассчитывать|tính đến
file away|подшить|cất hồ sơ
fill in for|заменить|thay cho
filter out|отфильтровать|lọc ra
finish up|закончить|kết thúc
fire away|начинай говорить|cứ nói
fish out|выудить|moi ra
fit out|оснастить|trang bị
fix on|остановиться на|chốt
flag down|остановить взмахом|vẫy dừng
flare up|вспыхнуть|bùng lên
flash back|вернуться в памяти|hồi tưởng
flesh out|развить подробнее|làm rõ
flicker out|погаснуть|tắt dần
fling off|сбросить|vứt bỏ
float around|носиться в воздухе|lan truyền
flood in|хлынуть|ùa vào
floor it|газануть|đạp ga
fly into|впасть в|nổi cơn
focus on|сосредоточиться|tập trung
fold up|сложить|gấp lại
follow through|довести|làm đến cùng
fool about|валять дурака|nghịch ngợm
force back|оттеснить|đẩy lùi
forge ahead|рваться вперёд|tiến mạnh
fork out|выложить|móc tiền
freak out|психануть|hoảng loạn
freeze over|замёрзнуть|đóng băng
freeze up|застыть|đơ ra
freshen up|освежиться|tươi tỉnh lại
frown on|не одобрять|không tán thành
fry up|поджарить|rán lên
gad about|шататься|đi lang thang
gain on|нагонять|đuổi kịp
gang up|сговориться против|hợp lại chống
gasp out|выдохнуть|thốt ra
gather up|собрать|thu lại
gear up|готовиться|chuẩn bị
get about|передвигаться|đi lại
get along with|ладить с|hòa thuận với
get around|обходиться / распространиться|xoay xở / lan truyền
get away from|уйти от|tránh khỏi
get behind|отстать / поддержать|tụt lại / ủng hộ
get by on|прожить на|sống nhờ
get down|удручать / слезть|làm chán / xuống
get in on|ввязаться|nhập cuộc
get off with|отделаться|thoát với
get on for|приближаться к|gần đến
get out of hand|выйти из-под контроля|vượt tầm kiểm soát
get together with|собраться с|họp với
get up to|затеять|nghịch
give in to|поддаться|nhượng bộ
give out that|распустить слух|đồn rằng
give over|прекратить|thôi đi
give up on|махнуть рукой|bỏ cuộc với
give way|уступить / поддаться|nhường / sụp
glance through|просмотреть|xem lướt
go along|соглашаться|đi theo
go around|ходить кругом / хватать|đi vòng / đủ
go back on|нарушить слово|thất hứa
go down with|заболеть|mắc bệnh
go in|войти|đi vào
go off with|уйти с|bỏ đi với
go on about|разглагольствовать|nói dai
go out with|встречаться с|hẹn hò
go over to|перейти на|chuyển sang
go round|зайти / хватить|ghé / đủ
go through with it|довести это|làm cho xong việc
go under|разориться|phá sản
go up|вырасти в цене|tăng
go with the flow|плыть по течению|xuôi theo
grind down|измотать|bào mòn
grow apart|отдалиться|xa cách
grow on|начать нравиться|dần thích
gun for|охотиться за|nhắm vào
hack into|взломать|xâm nhập
ham up|переигрывать|diễn quá
hammer out|выработать|thảo ra
hand in hand|рука об руку|tay trong tay
hang up on|бросить трубку|cúp máy giữa chừng
happen on|наткнуться|tình cờ thấy
harp on|твердить|nhắc đi nhắc lại
hash out|обсудить до конца|bàn cho ra
have it in for|иметь зуб|ghét cay
have it out|выяснить отношения|nói cho rõ
head off|предотвратить|ngăn chặn
heat up|разогреть|hâm nóng
help out|выручить|giúp đỡ
hit it off|спеться|hợp nhau
hit out at|обрушиться на|đả kích
hold off|повременить|hoãn lại
hold onto|держаться|bám lấy
hold out for|стоять на своём|đòi cho bằng được
hole up|затаиться|ẩn náu
home in on|нацелиться|nhắm vào
hook up|подключить / встретиться|kết nối / gặp
horse around|дурачиться|nghịch
hunt down|выследить|săn lùng
hush up|замять|giấu nhẹm
hype up|разрекламировать|thổi phồng
idle away|бездельничать|phí thời gian
impress on|внушить|khắc sâu
improve on|улучшить|cải thiện hơn
indulge in|предаваться|say mê
inquire into|расследовать|điều tra
insist on|настаивать|khăng khăng
interest in|заинтересовать|làm quan tâm
interfere with|мешать|can thiệp
invite over|пригласить к себе|mời đến
iron on|приутюжить|ủi dán
jack up|взвинтить|đội giá
jazz up|оживить|làm sôi động
jockey for|бороться за|tranh giành
join forces|объединить усилия|hợp lực
jot down|набросать|ghi vội
jump in|вмешаться|nhảy vào
jump on|наброситься|nhảy lên
keel over|рухнуть|ngã quỵ
keep at|упорно делать|kiên trì
keep on at|доставать|cứ nhắc
kick in|вступить в силу|bắt đầu có hiệu lực
kick out|выгнать|đuổi ra
kiss up|подлизываться|nịnh
knuckle down|засесть|lao vào
knuckle under|подчиниться|khuất phục
lap up|жадно глотать|hứng thú nghe
lash out at|наброситься на|quát mắng
latch on|ухватиться|bám lấy
lay into|накинуться|xỉ vả
lay off staff|сократить штат|sa thải nhân viên
lead on|водить за нос|dụ dỗ
leak out|просочиться|lộ ra
lean toward|склоняться к|nghiêng về
leave off|прекратить|ngừng
let down gently|мягко отказать|từ chối khéo
let in on|посвятить|cho biết
let up|ослабеть|dịu đi
level off|выровняться|ổn định
level with|говорить начистоту|nói thẳng
lie in|валяться в постели|nằm nướng
lift off|взлететь|cất cánh
light on|натолкнуться|tình cờ gặp
line up for|стоять в очереди за|xếp hàng lấy
link up|соединиться|kết nối
listen out|прислушиваться|lắng nghe
live it up|кутить|ăn chơi
live off|жить за счёт|sống nhờ
load up|загрузить|chất đầy
lock in|запереть внутри|khóa trong
log off|выйти из системы|đăng xuất
look after a child|присмотреть за ребёнком|trông trẻ
look ahead|смотреть вперёд|nhìn về trước
look out for|присматривать за|để mắt đến
look through|просмотреть|xem qua
look to|рассчитывать на|trông vào
look up a word|найти слово|tra từ
lose out to|проиграть кому-то|thua
luck out|повезти|gặp may
make do|обходиться|tạm dùng
make fun of|высмеивать|chế giễu
make of|думать о|nghĩ về
make off with|смыться с|cuỗm đi
make out a check|выписать чек|viết séc
make up one's mind|решиться|quyết định
map out|наметить|vạch ra
mark up|наценить|tăng giá
marry off|выдать замуж|gả
measure up to|соответствовать|đạt tới
meet with|встретиться с|gặp gỡ
melt away|растаять|tan biến
melt down|расплавить|nấu chảy
mess about|валять дурака|nghịch
miss out on|упустить|bỏ lỡ
