spoonful|ложка|một thìa
settings|настройки|cài đặt
battery life|время работы батареи|thời lượng pin
signal|сигнал|tín hiệu
coverage|покрытие|vùng phủ sóng
airplane mode|режим полёта|chế độ máy bay
screenshot|снимок экрана|ảnh chụp màn hình
bookmark|закладка|dấu trang
history|история|lịch sử
download folder|папка загрузок|thư mục tải về
cloud storage|облачное хранилище|lưu trữ đám mây
backup|резервная копия|bản sao lưu
virus|вирус|vi-rút
password reset|сброс пароля|đặt lại mật khẩu
invoice|счёт-фактура|hóa đơn
receipt number|номер чека|số hóa đơn
discount|скидка|giảm giá
bargain|выгодная покупка|món hời
refund|возврат денег|hoàn tiền
exchange|обмен|đổi hàng
warranty|гарантия|bảo hành
queue|очередь|hàng đợi
cashier|кассир|thu ngân
shopping cart|тележка|xe đẩy
basket|корзина|giỏ
shelf price|цена на полке|giá trên kệ
barcode|штрихкод|mã vạch
loyalty card|карта лояльности|thẻ thành viên
cash register|касса|máy tính tiền
change|сдачу|tiền thối
coin|монета|đồng xu
banknote|купюра|tờ tiền
wallet|кошелёк|ví
purse|дамская сумка|túi xách
backpack|рюкзак|ba lô
suitcase|чемодан|vali
luggage|багаж|hành lý
passport|паспорт|hộ chiếu
visa|виза|thị thực
boarding pass|посадочный талон|thẻ lên máy bay
customs|таможня|hải quan
security check|досмотр|kiểm tra an ninh
gate|выход на посадку|cổng
runway|взлётная полоса|đường băng
flight|рейс|chuyến bay
delay|задержка|sự chậm trễ
departure|отправление|khởi hành
arrival|прибытие|đến nơi
platform|платформа|sân ga
carriage|вагон|toa tàu
seat|место|chỗ ngồi
aisle|проход|lối đi
window seat|место у окна|ghế cạnh cửa sổ
timetable|расписание|thời gian biểu
fare|стоимость проезда|tiền vé
commute|поездка на работу|đi làm
traffic jam|пробка|kẹt xe
crosswalk|пешеходный переход|vạch sang đường
sidewalk|тротуар|vỉa hè
intersection|перекрёсток|ngã tư
roundabout|круговое движение|bùng binh
traffic light|светофор|đèn giao thông
speed limit|ограничение скорости|giới hạn tốc độ
parking lot|парковка|bãi đỗ xe
parking meter|паркомат|đồng hồ đỗ xe
gas station|заправка|cây xăng
fuel|топливо|nhiên liệu
engine|двигатель|động cơ
steering wheel|руль|vô lăng
brake|тормоз|phanh
accelerator|педаль газа|chân ga
headlight|фара|đèn pha
windshield|лобовое стекло|kính chắn gió
wiper|дворник|cần gạt mưa
tire|шина|lốp
spare tire|запаска|lốp dự phòng
trunk|багажник|cốp xe
hood|капот|nắp capo
bumper|бампер|cản xe
license plate|номерной знак|biển số
seat belt|ремень безопасности|dây an toàn
airbag|подушка безопасности|túi khí
horn|гудок|còi
mirror|зеркало заднего вида|gương chiếu hậu
dashboard|приборная панель|bảng đồng hồ
gear|передача|số
clutch|сцепление|côn
motorcycle|мотоцикл|xe máy
bicycle|велосипед|xe đạp
helmet|шлем|mũ bảo hiểm
scooter|самокат|xe tay ga
subway|метро|tàu điện ngầm
tram|трамвай|xe điện
ferry|паром|phà
harbor|гавань|bến cảng
pier|причал|cầu tàu
anchor|якорь|mỏ neo
sail|парус|cánh buồm
deck|палуба|boong tàu
cabin|каюта|khoang
life jacket|спасательный жилет|áo phao
map|карта|bản đồ
compass|компас|la bàn
route|маршрут|tuyến đường
shortcut|короткий путь|đường tắt
destination|пункт назначения|điểm đến
landmark|ориентир|địa danh
neighborhood|район|khu phố
suburb|пригород|ngoại ô
downtown|центр города|trung tâm thành phố
outskirts|окраина|vùng ven
block|квартал|dãy nhà
alley|переулок|hẻm
square|площадь|quảng trường
fountain|фонтан|đài phun nước
statue|статуя|tượng
monument|памятник|đài tưởng niệm
bridge|мост|cầu
tunnel|тоннель|đường hầm
highway|шоссе|đường cao tốc
overpass|эстакада|cầu vượt
underpass|подземный переход|hầm chui
construction site|стройка|công trường
scaffold|леса|giàn giáo
crane|кран|cần cẩu
brick|кирпич|gạch
cement|цемент|xi măng
concrete|бетон|bê tông
nail|гвоздь|đinh
screw|шуруп|ốc vít
hammer|молоток|búa
screwdriver|отвёртка|tua vít
wrench|гаечный ключ|cờ lê
pliers|плоскогубцы|kìm
drill|дрель|máy khoan
saw|пила|cưa
tape measure|рулетка|thước dây
level|уровень|thước thủy
paintbrush|кисть|cọ sơn
paint|краска|sơn
ladder|лестница-стремянка|thang
toolbox|ящик для инструментов|hộp dụng cụ
glove|перчатка|găng tay
mask|маска|khẩu trang
goggles|защитные очки|kính bảo hộ
uniform|форма|đồng phục
apron|фартук|tạp dề
helmet strap|ремешок шлема|quai mũ
toolbox drawer|ящик инструмента|ngăn dụng cụ
workshop|мастерская|xưởng
factory|фабрика|nhà máy
warehouse|склад|kho
office|офис|văn phòng
cubicle|кабинка|ô làm việc
receptionist|администратор|lễ tân
manager|менеджер|quản lý
employee|сотрудник|nhân viên
employer|работодатель|người sử dụng lao động
coworker|коллега|đồng nghiệp
intern|стажёр|thực tập sinh
shift|смена|ca làm
overtime|сверхурочные|làm thêm giờ
salary slip|расчётный лист|phiếu lương
tax|налог|thuế
bonus|премия|thưởng
promotion|повышение|thăng chức
resignation|увольнение по собственному|đơn từ chức
interview|собеседование|phỏng vấn
resume|резюме|sơ yếu lý lịch
vacancy|вакансия|chỗ trống
deadline|срок|hạn chót
meeting room|переговорная|phòng họp
agenda|повестка|chương trình họp
minutes|протокол|biên bản
presentation|презентация|bài thuyết trình
slide|слайд|trang chiếu
projector|проектор|máy chiếu
whiteboard|доска|bảng trắng
marker|маркер|bút dạ
sticky note|стикер|giấy nhớ
stapler|степлер|dập ghim
paper clip|скрепка|kẹp giấy
envelope|конверт|phong bì
stamp|марка|tem
parcel|посылка|bưu kiện
post office|почта|bưu điện
courier|курьер|người giao hàng
signature|подпись|chữ ký
contract|договор|hợp đồng
clause|пункт договора|điều khoản
agreement|соглашение|thỏa thuận
invoice date|дата счёта|ngày hóa đơn
budget|бюджет|ngân sách
expense|расход|chi phí
income|доход|thu nhập
profit|прибыль|lợi nhuận
loss|убыток|thua lỗ
loan|заём|khoản vay
interest rate|процентная ставка|lãi suất
mortgage|ипотека|thế chấp
savings|сбережения|tiền tiết kiệm
account balance|баланс|số dư
transfer|перевод|chuyển khoản
ATM|банкомат|máy ATM
branch|отделение банка|chi nhánh
teller|кассир банка|giao dịch viên
checkbook|чековая книжка|sổ séc
debit card|дебетовая карта|thẻ ghi nợ
credit card|кредитная карта|thẻ tín dụng
PIN|ПИН-код|mã PIN
fraud|мошенничество|gian lận
insurance|страховка|bảo hiểm
policy|полис|hợp đồng bảo hiểm
claim|страховой случай|yêu cầu bồi thường
premium|страховой взнос|phí bảo hiểm
lawyer|адвокат|luật sư
court|суд|tòa án
judge|судья|thẩm phán
jury|присяжные|bồi thẩm đoàn
witness|свидетель|nhân chứng
defendant|подсудимый|bị cáo
plaintiff|истец|nguyên đơn
verdict|вердикт|phán quyết
fine|штраф|tiền phạt
sentence|приговор|bản án
prison|тюрьма|nhà tù
crime|преступление|tội phạm
theft|кража|trộm cắp
robbery|ограбление|cướp
fraud case|дело о мошенничестве|vụ gian lận
evidence|улика|bằng chứng
alibi|алиби|chứng cứ ngoại phạm
bail|залог|tiền bảo lãnh
handcuffs|наручники|còng tay
siren|сирена|còi hú
police officer|полицейский|cảnh sát
firefighter|пожарный|lính cứu hỏa
paramedic|фельдшер|nhân viên cấp cứu
ambulance siren|сирена скорой|còi xe cứu thương
emergency|чрезвычайная ситуация|tình huống khẩn cấp
first aid|первая помощь|sơ cứu
bandage|бинт|băng
plaster|пластырь|băng dán
ointment|мазь|thuốc mỡ
pill|таблетка|viên thuốc
syrup|сироп|siro
injection|укол|mũi tiêm
syringe|шприц|ống tiêm
prescription|рецепт|đơn thuốc
pharmacy|аптека|nhà thuốc
pharmacist|фармацевт|dược sĩ
symptom|симптом|triệu chứng
fever|жар|sốt
cough|кашель|ho
sneeze|чихание|hắt hơi
headache|головная боль|đau đầu
stomachache|боль в животе|đau bụng
toothache|зубная боль|đau răng
sore throat|боль в горле|đau họng
allergy|аллергия|dị ứng
asthma|астма|hen
diabetes|диабет|tiểu đường
blood pressure|давление|huyết áp
pulse|пульс|mạch
temperature|температура|nhiệt độ
thermometer|градусник|nhiệt kế
X-ray|рентген|chụp X-quang
cast|гипс|bó bột
crutch|костыль|nạng
wheelchair|инвалидная коляска|xe lăn
stretcher|носилки|cáng
operating room|операционная|phòng mổ
surgeon|хирург|bác sĩ phẫu thuật
nurse|медсестра|y tá
patient|пациент|bệnh nhân
appointment|запись к врачу|lịch hẹn
clinic|клиника|phòng khám
hospital ward|палата|buồng bệnh
waiting room|приёмная|phòng chờ
diagnosis|диагноз|chẩn đoán
treatment|лечение|điều trị
recovery|выздоровление|hồi phục
painkiller|обезболивающее|thuốc giảm đau
antibiotic|антибиотик|kháng sinh
vitamin|витамин|vitamin
dose|доза|liều
side effect|побочный эффект|tác dụng phụ
infection|инфекция|nhiễm trùng
wound|рана|vết thương
bruise|синяк|vết bầm
burn|ожог|bỏng
fracture|перелом|gãy xương
sprain|растяжение|bong gân
cut|порез|vết cắt
bleeding|кровотечение|chảy máu
dizzy|головокружение|chóng mặt
nausea|тошнота|buồn nôn
rash|сыпь|phát ban
itch|зуд|ngứa
swelling|отёк|sưng
scar|шрам|sẹo
dentist|стоматолог|nha sĩ
filling|пломба|trám răng
braces|брекеты|niềng răng
gum|десна|nướu
tongue|язык|lưỡi
lip|губа|môi
cheek|щека|má
chin|подбородок|cằm
forehead|лоб|trán
eyebrow|бровь|lông mày
eyelash|ресница|lông mi
jaw|челюсть|hàm
neck|шея|cổ
shoulder|плечо|vai
elbow|локоть|khuỷu tay
wrist|запястье|cổ tay
palm|ладонь|lòng bàn tay
fist|кулак|nắm tay
thumb|большой палец|ngón cái
finger|палец|ngón tay
fingernail|ноготь|móng tay
knuckle|костяшка|đốt ngón
chest|грудь|ngực
waist|талия|eo
hip|бедро|hông
thigh|ляжка|đùi
knee|колено|đầu gối
shin|голень|ống chân
calf|икра|bắp chân
ankle bone|лодыжка|mắt cá
heel|пятка|gót chân
toe|палец ноги|ngón chân
sole|подошва|lòng bàn chân
spine|позвоночник|cột sống
rib|ребро|xương sườn
skull|череп|hộp sọ
muscle|мышца|cơ
bone|кость|xương
joint|сустав|khớp
skin|кожа|da
vein|вена|tĩnh mạch
artery|артерия|động mạch
lung|лёгкое|phổi
liver|печень|gan
kidney|почка|thận
stomach|желудок|dạ dày
intestine|кишечник|ruột
brain|мозг|não
heart|сердце|tim
nerve|нерв|dây thần kinh
blood|кровь|máu
sweat|пот|mồ hôi
tear|слеза|nước mắt
breath|дыхание|hơi thở
beard|борода|râu
mustache|усы|ria
wrinkle|морщина|nếp nhăn
freckle|веснушка|tàn nhang
mole|родинка|nốt ruồi
bald|лысый|hói
ponytail|хвост|đuôi ngựa
braid|коса|bím tóc
haircut|стрижка|kiểu tóc
shampoo|шампунь|dầu gội
conditioner|кондиционер для волос|dầu xả
comb|расчёска|lược
brush|щётка|bàn chải
toothpaste|зубная паста|kem đánh răng
toothbrush|зубная щётка|bàn chải đánh răng
floss|зубная нить|chỉ nha khoa
razor|бритва|dao cạo
shave|бритьё|cạo râu
deodorant|дезодорант|khử mùi
perfume|духи|nước hoa
makeup|макияж|trang điểm
lipstick|помада|son
mascara|тушь|mascara
nail polish|лак для ногтей|sơn móng
cream|крем|kem
lotion|лосьон|sữa dưỡng
sunscreen|солнцезащитный крем|kem chống nắng
towel rack|держатель полотенец|giá khăn
bathrobe|халат|áo choàng tắm
slippers|тапочки|dép đi trong nhà
pajamas|пижама|đồ ngủ
underwear|нижнее бельё|đồ lót
socks|носки|tất
tights|колготки|quần tất
stockings|чулки|tất dài
bra|бюстгальтер|áo ngực
belt|ремень|thắt lưng
tie|галстук|cà vạt
scarf|шарф|khăn choàng
gloves pair|пара перчаток|đôi găng
hat|шляпа|mũ
cap|кепка|mũ lưỡi trai
hood|капюшон|mũ trùm
coat|пальто|áo khoác dài
jacket|куртка|áo khoác
raincoat|плащ|áo mưa
boots|сапоги|ủng
sneakers|кроссовки|giày thể thao
sandals|сандалии|dép xăng đan
heels|каблуки|giày cao gót
slippers pair|пара тапочек|đôi dép
zipper|молния|khóa kéo
button|пуговица|cúc áo
pocket|карман|túi áo
sleeve|рукав|tay áo
collar|воротник|cổ áo
hem|подол|gấu áo
seam|шов|đường may
fabric|ткань|vải
cotton|хлопок|cotton
wool|шерсть|len
silk|шёлк|lụa
leather|кожа|da thuộc
denim|джинсовая ткань|vải bò
linen|лён|vải lanh
polyester|полиэстер|polyester
pattern|узор|họa tiết
stripe|полоска|sọc
dot|горошек|chấm bi
plain|однотонный|trơn
size label|ярлык размера|nhãn cỡ
fitting room|примерочная|phòng thử đồ
tailor|портной|thợ may
dry cleaner|химчистка|giặt khô
laundry basket|корзина для белья|giỏ đồ giặt
iron mark|метка глажки|ký hiệu ủi
shrink|сесть после стирки|co lại
stain|пятно|vết bẩn
wrinkle free|немнущийся|không nhăn
outfit|наряд|bộ đồ
costume|костюм|trang phục
suit|костюм-двойка|bộ vest
blouse|блузка|áo kiểu
sweater|свитер|áo len
hoodie|толстовка|áo hoodie
vest|жилет|áo gile
shorts|шорты|quần short
skirt|юбка|váy
dress|платье|váy liền
trousers|брюки|quần tây
jeans|джинсы|quần jean
leggings|леггинсы|quần legging
uniform shirt|форменная рубашка|áo đồng phục
school bag|школьный рюкзак|cặp sách
textbook|учебник|sách giáo khoa
workbook|рабочая тетрадь|sách bài tập
notebook page|страница тетради|trang vở
pencil case|пенал|hộp bút
ruler|линейка|thước kẻ
eraser|ластик|cục tẩy
sharpener|точилка|gọt bút
highlighter|маркер-выделитель|bút nhớ dòng
calculator|калькулятор|máy tính bỏ túi
dictionary|словарь|từ điển
encyclopedia|энциклопедия|bách khoa toàn thư
library card|читательский билет|thẻ thư viện
bookshelf|книжная полка|kệ sách
chapter|глава|chương
paragraph|абзац|đoạn văn
sentence|предложение|câu
word|слово|từ
letter|буква|chữ cái
spelling|правописание|chính tả
grammar rule|правило грамматики|quy tắc ngữ pháp
pronunciation|произношение|cách phát âm
accent|акцент|giọng
dialect|диалект|phương ngữ
translation|перевод|bản dịch
meaning|значение|nghĩa
example sentence|пример|câu ví dụ
exercise|упражнение|bài tập
homework|домашнее задание|bài tập về nhà
test|тест|bài kiểm tra
exam|экзамен|kỳ thi
grade|оценка|điểm
pass mark|проходной балл|điểm đậu
fail|провал|trượt
certificate|сертификат|chứng chỉ
diploma|диплом|bằng
degree|степень|bằng cấp
scholarship|стипендия|học bổng
tuition|плата за обучение|học phí
campus|кампус|khuôn viên
dormitory|общежитие|ký túc xá
lecture|лекция|bài giảng
seminar|семинар|hội thảo
professor|профессор|giáo sư
lecturer|преподаватель|giảng viên
classmate|одноклассник|bạn cùng lớp
principal|директор школы|hiệu trưởng
timetable of classes|расписание уроков|thời khóa biểu
subject|предмет|môn học
math|математика|toán
science|естествознание|khoa học
history subject|история|lịch sử
geography|география|địa lý
literature|литература|văn học
physics|физика|vật lý
chemistry|химия|hóa học
biology|биология|sinh học
art class|урок рисования|giờ mỹ thuật
music class|урок музыки|giờ âm nhạc
physical education|физкультура|thể dục
foreign language|иностранный язык|ngoại ngữ
laboratory|лаборатория|phòng thí nghiệm
experiment|опыт|thí nghiệm
hypothesis|гипотеза|giả thuyết
result of a test|результат теста|kết quả bài kiểm tra
microscope|микроскоп|kính hiển vi
telescope|телескоп|kính thiên văn
magnet|магнит|nam châm
battery cell|элемент питания|pin
circuit|цепь|mạch điện
voltage|напряжение|điện áp
current|ток|dòng điện
resistance|сопротивление|điện trở
atom|атом|nguyên tử
molecule|молекула|phân tử
cell|клетка|tế bào
gene|ген|gen
evolution|эволюция|tiến hóa
gravity|гравитация|trọng lực
orbit|орбита|quỹ đạo
planet|планета|hành tinh
star|звезда|ngôi sao
moon|луна|mặt trăng
sun|солнце|mặt trời
galaxy|галактика|thiên hà
universe|вселенная|vũ trụ
satellite|спутник|vệ tinh
rocket|ракета|tên lửa
astronaut|космонавт|phi hành gia
space station|космическая станция|trạm vũ trụ
eclipse|затмение|nhật thực
comet|комета|sao chổi
meteor|метеорит|sao băng
constellation|созвездие|chòm sao
horizon|горизонт|chân trời
equator|экватор|xích đạo
pole|полюс|cực
continent|континент|lục địa
ocean|океан|đại dương
sea|море|biển
coast|побережье|bờ biển
island|остров|đảo
peninsula|полуостров|bán đảo
bay|залив|vịnh
strait|пролив|eo biển
river|река|sông
stream|ручей|suối
lake|озеро|hồ
pond|пруд|ao
waterfall|водопад|thác nước
spring of water|источник|mạch nước
valley|долина|thung lũng
hill|холм|đồi
mountain|гора|núi
peak|вершина|đỉnh
slope|склон|sườn
cliff|утёс|vách đá
cave|пещера|hang
desert|пустыня|sa mạc
forest|лес|rừng
jungle|джунгли|rừng nhiệt đới
meadow|луг|đồng cỏ
field|поле|cánh đồng
farm|ферма|nông trại
orchard|сад фруктовый|vườn cây ăn quả
vineyard|виноградник|vườn nho
crop|урожай|mùa màng
harvest|жатва|mùa gặt
seed|семя|hạt giống
soil|почва|đất
mud|грязь|bùn
sand|песок|cát
pebble|галька|sỏi
rock|камень|đá
clay|глина|đất sét
dust|пыль|bụi
ash|пепел|tro
smoke|дым|khói
flame|пламя|ngọn lửa
spark|искра|tia lửa
steam|пар|hơi nước
ice|лёд|băng
snowflake|снежинка|bông tuyết
frost|мороз|sương giá
hail|град|mưa đá
thunder|гром|sấm
lightning|молния|chớp
rainbow|радуга|cầu vồng
fog|туман|sương mù
mist|дымка|sương mờ
breeze|бриз|gió nhẹ
gale|штормовой ветер|gió mạnh
hurricane|ураган|bão lớn
tornado|торнадо|lốc xoáy
earthquake|землетрясение|động đất
flood|наводнение|lũ lụt
drought|засуха|hạn hán
wildfire|лесной пожар|cháy rừng
volcano|вулкан|núi lửa
lava|лава|dung nham
glacier|ледник|sông băng
tide|прилив|thủy triều
wave|волна|sóng
current of water|течение|dòng chảy
shore|берег|bờ
beach|пляж|bãi biển
shell|ракушка|vỏ sò
seaweed|водоросли|rong biển
coral|коралл|san hô
reef|риф|rạn san hô
dolphin|дельфин|cá heo
whale|кит|cá voi
shark|акула|cá mập
octopus|осьминог|bạch tuộc
jellyfish|медуза|sứa
crab|краб|cua
shrimp|креветка|tôm
lobster|омар|tôm hùm
oyster|устрица|hàu
seagull|чайка|mòng biển
penguin|пингвин|chim cánh cụt
eagle|орёл|đại bàng
owl|сова|cú
sparrow|воробей|chim sẻ
crow|ворона|quạ
pigeon|голубь|bồ câu
parrot|попугай|vẹt
swan|лебедь|thiên nga
duck|утка|vịt
goose|гусь|ngỗng
hen|курица|gà mái
rooster|петух|gà trống
chick|цыплёнок|gà con
turkey|индейка|gà tây
cow|корова|bò
bull|бык|bò đực
calf animal|телёнок|bê
horse|лошадь|ngựa
foal|жеребёнок|ngựa con
donkey|осёл|lừa
sheep|овца|cừu
lamb|ягнёнок|cừu non
goat|коза|dê
pig|свинья|lợn
piglet|поросёнок|lợn con
rabbit|кролик|thỏ
mouse animal|мышь|chuột nhắt
rat|крыса|chuột cống
squirrel|белка|sóc
fox|лиса|cáo
wolf|волк|sói
bear|медведь|gấu
deer|олень|hươu
moose|лось|nai sừng tấm
monkey|обезьяна|khỉ
gorilla|горилла|khỉ đột
elephant|слон|voi
lion|лев|sư tử
tiger|тигр|hổ
leopard|леопард|báo
giraffe|жираф|hươu cao cổ
zebra|зебра|ngựa vằn
hippo|бегемот|hà mã
rhino|носорог|tê giác
camel|верблюд|lạc đà
kangaroo|кенгуру|chuột túi
koala|коала|gấu túi
panda|панда|gấu trúc
crocodile|крокодил|cá sấu
snake|змея|rắn
lizard|ящерица|thằn lằn
frog|лягушка|ếch
toad|жаба|cóc
turtle|черепаха|rùa
bee|пчела|ong
wasp|оса|ong bắp cày
ant|муравей|kiến
butterfly|бабочка|bướm
moth|мотылёк|bướm đêm
spider|паук|nhện
mosquito|комар|muỗi
fly insect|муха|ruồi
beetle|жук|bọ cánh cứng
worm|червь|giun
snail|улитка|ốc sên
bat|летучая мышь|dơi
hedgehog|ёж|nhím
otter|выдра|rái cá
seal|тюлень|hải cẩu
whale shark|китовая акула|cá mập voi
goldfish|золотая рыбка|cá vàng
parrot fish|рыба-попугай|cá mó
salmon|лосось|cá hồi
tuna|тунец|cá ngừ
cod|треска|cá tuyết
trout|форель|cá hồi suối
sardine|сардина|cá mòi
herring|сельдь|cá trích
mackerel|скумбрия|cá thu
anchovy|анчоус|cá cơm
squid|кальмар|mực
eel|угорь|cá chình
starfish|морская звезда|sao biển
seahorse|морской конёк|cá ngựa
clam|моллюск|nghêu
mussel|мидия|vẹm
scallop|гребешок|sò điệp
barnacle|морская уточка|hà
plankton|планктон|sinh vật phù du
coral reef|коралловый риф|rạn san hô
tide pool|лужа на отливе|vũng triều
sand dune|дюна|cồn cát
oasis|оазис|ốc đảo
canyon|каньон|hẻm núi
plateau|плато|cao nguyên
prairie|прерия|thảo nguyên
swamp|болото|đầm lầy
marsh|трясина|đầm lầy cỏ
rainforest|тропический лес|rừng mưa
taiga|тайга|rừng taiga
tundra|тундра|lãnh nguyên
savanna|саванна|xavan
steppe|степь|thảo nguyên khô
delta|дельта|châu thổ
estuary|устье|cửa sông
tributary|приток|phụ lưu
rapids|пороги|ghềnh
dam|плотина|đập
reservoir|водохранилище|hồ chứa
canal|канал|kênh
lock gate|шлюз|âu thuyền
lighthouse|маяк|hải đăng
buoy|буй|phao
lifeboat|спасательная шлюпка|xuồng cứu sinh
anchor chain|якорная цепь|xích neo
porthole|иллюминатор|cửa sổ tàu
cargo|груз|hàng hóa
container|контейнер|công ten nơ
crane operator|крановщик|người điều khiển cần cẩu
forklift|погрузчик|xe nâng
pallet|поддон|pallet
warehouse shelf|стеллаж|kệ kho
barcode scanner|сканер штрихкода|máy quét mã
conveyor|конвейер|băng chuyền
assembly line|сборочная линия|dây chuyền lắp ráp
shift supervisor|начальник смены|quản lý ca
safety helmet|каска|mũ bảo hộ
earplugs|беруши|nút tai
fire extinguisher|огнетушитель|bình chữa cháy
emergency exit|запасной выход|lối thoát hiểm
fire alarm|пожарная сигнализация|báo cháy
smoke detector|датчик дыма|đầu báo khói
sprinkler|спринклер|vòi phun
hydrant|гидрант|trụ nước chữa cháy
hose|шланг|vòi
nozzle|насадка|đầu vòi
pressure gauge|манометр|đồng hồ áp suất
valve|клапан|van
pipe|труба|ống
leak|утечка|rò rỉ
clog|засор|tắc
drain|слив|cống thoát
sewer|канализация|cống rãnh
manhole|люк|nắp cống
utility bill|счёт за коммуналку|hóa đơn tiện ích
electricity bill|счёт за свет|hóa đơn điện
water bill|счёт за воду|hóa đơn nước
gas bill|счёт за газ|hóa đơn gas
rent|аренда|tiền thuê
landlord|арендодатель|chủ nhà
tenant|арендатор|người thuê
lease|договор аренды|hợp đồng thuê
deposit|залог|tiền đặt cọc
neighbor upstairs|сосед сверху|hàng xóm tầng trên
noise complaint|жалоба на шум|phàn nàn tiếng ồn
maintenance|обслуживание|bảo trì
plumber|сантехник|thợ ống nước
electrician|электрик|thợ điện
carpenter|плотник|thợ mộc
painter|маляр|thợ sơn
locksmith|слесарь по замкам|thợ khóa
janitor|уборщик|người lao công
gardener|садовник|người làm vườn
mailman|почтальон|người đưa thư
delivery driver|курьер-водитель|tài xế giao hàng
taxi driver|таксист|tài xế taxi
bus driver|водитель автобуса|tài xế xe buýt
pilot|пилот|phi công
flight attendant|бортпроводник|tiếp viên
sailor|моряк|thủy thủ
soldier|солдат|người lính
captain|капитан|thuyền trưởng
chef|шеф-повар|đầu bếp
cook helper|помощник повара|phụ bếp
waiter job|работа официанта|việc bồi bàn
bartender|бармен|người pha chế
barista|бариста|nhân viên pha cà phê
baker|пекарь|thợ làm bánh
butcher|мясник|người bán thịt
fishmonger|рыбник|người bán cá
grocer|бакалейщик|người bán tạp hóa
florist|флорист|người bán hoa
hairdresser|парикмахер|thợ làm tóc
barber|цирюльник|thợ cắt tóc nam
beautician|косметолог|chuyên viên thẩm mỹ
tailor shop|ателье|tiệm may
shoemaker|сапожник|thợ giày
jeweler|ювелир|thợ kim hoàn
watchmaker|часовщик|thợ đồng hồ
photographer|фотограф|nhiếp ảnh gia
journalist|журналист|nhà báo
editor|редактор|biên tập viên
writer|писатель|nhà văn
poet|поэт|nhà thơ
actor|актёр|diễn viên
actress|актриса|nữ diễn viên
director|режиссёр|đạo diễn
musician|музыкант|nhạc sĩ
singer|певец|ca sĩ
dancer|танцор|vũ công
painter artist|художник|họa sĩ
sculptor|скульптор|nhà điêu khắc
architect|архитектор|kiến trúc sư
engineer|инженер|kỹ sư
programmer|программист|lập trình viên
designer|дизайнер|nhà thiết kế
accountant|бухгалтер|kế toán
economist|экономист|nhà kinh tế
scientist|учёный|nhà khoa học
researcher|исследователь|nhà nghiên cứu
teacher|учитель|giáo viên
